# Mapping file for sectoral emisisons to Hector global total emissions,,,
variable,sector,hector_variable,source
CH4_Extension,2A2_Lime-production,CH4_emissions,CEDS
CH4_Extension,2Ax_Other-minerals,CH4_emissions,CEDS
CH4_Extension,2B2_Chemicals-Nitric-acid,CH4_emissions,CEDS
CH4_Extension,2B3_Chemicals-Adipic-acid,CH4_emissions,CEDS
CH4_Extension,2B_Chemical-industry,CH4_emissions,CEDS
CH4_Extension,2C1_Iron-steel-alloy-prod,CH4_emissions,CEDS
CH4_Extension,2C3_Aluminum-production,CH4_emissions,CEDS
CH4_Extension,2C4_Non-Ferrous-other-metals,CH4_emissions,CEDS
CH4_Extension,2D_Chemical-products-manufacture-processing,CH4_emissions,CEDS
CH4_Extension,2D_Degreasing-Cleaning,CH4_emissions,CEDS
CH4_Extension,2D_Other-product-use,CH4_emissions,CEDS
CH4_Extension,2D_Paint-application,CH4_emissions,CEDS
CH4_Extension,2H_Pulp-and-paper-food-beverage-wood,CH4_emissions,CEDS
CH4_Extension,2L_Other-process-emissions,CH4_emissions,CEDS
CH4_Extension,3B_Manure-management,CH4_emissions,CEDS
CH4_Extension,3D_Rice-Cultivation,CH4_emissions,CEDS
CH4_Extension,3D_Soil-emissions,CH4_emissions,CEDS
CH4_Extension,3E_Enteric-fermentation,CH4_emissions,CEDS
CH4_Extension,3I_Agriculture-other,CH4_emissions,CEDS
CH4_Extension,5A_Solid-waste-disposal,CH4_emissions,CEDS
CH4_Extension,5C_Waste-combustion,CH4_emissions,CEDS
CH4_Extension,5D_Wastewater-handling,CH4_emissions,CEDS
CH4_Extension,5E_Other-waste-handling,CH4_emissions,CEDS
CH4_Extension,6A_Other-in-total,CH4_emissions,CEDS
CH4_Extension,6B_Other-not-in-total,CH4_emissions,CEDS
CH4_Extension,7A_Fossil-fuel-fires,CH4_emissions,CEDS
CH4_Extension,7BC_Indirect-N2O-non-agricultural-N,CH4_emissions,CEDS
CO,1A1a_Electricity-autoproducer,CO_emissions,CEDS
CO,1A1a_Electricity-public,CO_emissions,CEDS
CO,1A1a_Heat-production,CO_emissions,CEDS
CO,1A1bc_Other-transformation,CO_emissions,CEDS
CO,1A2a_Ind-Comb-Iron-steel,CO_emissions,CEDS
CO,1A2b_Ind-Comb-Non-ferrous-metals,CO_emissions,CEDS
CO,1A2c_Ind-Comb-Chemicals,CO_emissions,CEDS
CO,1A2d_Ind-Comb-Pulp-paper,CO_emissions,CEDS
CO,1A2e_Ind-Comb-Food-tobacco,CO_emissions,CEDS
CO,1A2f_Ind-Comb-Non-metalic-minerals,CO_emissions,CEDS
CO,1A2g_Ind-Comb-Construction,CO_emissions,CEDS
CO,1A2g_Ind-Comb-machinery,CO_emissions,CEDS
CO,1A2g_Ind-Comb-mining-quarying,CO_emissions,CEDS
CO,1A2g_Ind-Comb-other,CO_emissions,CEDS
CO,1A2g_Ind-Comb-textile-leather,CO_emissions,CEDS
CO,1A2g_Ind-Comb-transpequip,CO_emissions,CEDS
CO,1A2g_Ind-Comb-wood-products,CO_emissions,CEDS
