# Map BB4CMIP emissions to hector units,,,,,,
# cf is the conversion factor from BB4CMIP to Hector,,,,,,
#  hector_sector = 0 indicates that the emissions are total global emissions other with the emissions are incomplete,,,,,,
variable,units,cf,hector_variable,hector_units,hector_sector,cf_notes
BC,Mt BC/yr,1,BC_emissions,Tg,biomass burn, 
CH4,Mt CH4/yr,1,CH4_emissions,Tg CH4,biomass burn, 
CO,Mt CO/yr,1,CO_emissions,Tg CO,biomass burn, 
N2O,kt N2O/yr,0.00063648,N2O_emissions,Tg N,biomass burn,(2 *14.0067/44.013 ) * 0.001
NH3,Mt NH3/yr,1,NH3_emissions,Tg,biomass burn, 
VOC,Mt VOC/yr,1,NMVOC_emissions,Tg NMVOC,biomass burn, 
Nox,Mt NO2/yr,0.304457076,NOX_emissions,Tg N,biomass burn,(14.0067/46.0055 )   * 1
OC,Mt OC/yr,1,OC_emissions,Tg,biomass burn, 
Sulfur,Mt SO2/yr,500.7800312,SO2_emissions,Gg S,biomass burn,(32.1/64.1)*1000
