"scenario","year","variable","hector","units"
"old",1832,"CO2_concentration",279.573915894717,"ppmv CO2"
"old",1833,"CO2_concentration",279.540780607448,"ppmv CO2"
"old",1834,"CO2_concentration",279.614220389224,"ppmv CO2"
"old",1835,"CO2_concentration",279.776946710509,"ppmv CO2"
"old",1836,"CO2_concentration",279.825166430033,"ppmv CO2"
"old",1837,"CO2_concentration",279.880349114061,"ppmv CO2"
"old",1838,"CO2_concentration",280.022869864763,"ppmv CO2"
"old",1839,"CO2_concentration",280.234379488426,"ppmv CO2"
"old",1840,"CO2_concentration",280.483711123862,"ppmv CO2"
"old",1841,"CO2_concentration",280.750810854002,"ppmv CO2"
"old",1842,"CO2_concentration",281.024780511054,"ppmv CO2"
"old",1843,"CO2_concentration",281.301683910798,"ppmv CO2"
"old",1844,"CO2_concentration",281.579845514553,"ppmv CO2"
"old",1845,"CO2_concentration",281.859445785918,"ppmv CO2"
"old",1846,"CO2_concentration",282.13999055098,"ppmv CO2"
"old",1847,"CO2_concentration",282.403849030548,"ppmv CO2"
"old",1848,"CO2_concentration",282.667272251248,"ppmv CO2"
"old",1849,"CO2_concentration",282.938157450472,"ppmv CO2"
"old",1850,"CO2_concentration",283.217541873789,"ppmv CO2"
"old",1851,"CO2_concentration",283.502862277171,"ppmv CO2"
"old",1852,"CO2_concentration",283.784582971091,"ppmv CO2"
"old",1853,"CO2_concentration",284.091097762591,"ppmv CO2"
"old",1854,"CO2_concentration",284.368664295508,"ppmv CO2"
"old",1855,"CO2_concentration",284.628553708725,"ppmv CO2"
"old",1856,"CO2_concentration",284.887671764996,"ppmv CO2"
"old",1857,"CO2_concentration",285.148686280582,"ppmv CO2"
"old",1858,"CO2_concentration",285.389452306911,"ppmv CO2"
"old",1859,"CO2_concentration",285.631407727613,"ppmv CO2"
"old",1860,"CO2_concentration",285.881662111653,"ppmv CO2"
"old",1861,"CO2_concentration",286.135882371955,"ppmv CO2"
"old",1862,"CO2_concentration",286.386119842115,"ppmv CO2"
"old",1863,"CO2_concentration",286.52862780487,"ppmv CO2"
"old",1864,"CO2_concentration",286.675330498657,"ppmv CO2"
"old",1865,"CO2_concentration",286.857447867682,"ppmv CO2"
"old",1866,"CO2_concentration",287.062393112443,"ppmv CO2"
"old",1867,"CO2_concentration",287.276422437791,"ppmv CO2"
"old",1868,"CO2_concentration",287.492422081822,"ppmv CO2"
"old",1869,"CO2_concentration",287.704287826672,"ppmv CO2"
"old",1870,"CO2_concentration",287.914122703729,"ppmv CO2"
"old",1871,"CO2_concentration",288.119158850691,"ppmv CO2"
"old",1872,"CO2_concentration",288.33253689135,"ppmv CO2"
"old",1873,"CO2_concentration",288.589420905923,"ppmv CO2"
"old",1874,"CO2_concentration",288.817465417457,"ppmv CO2"
"old",1875,"CO2_concentration",289.037525370321,"ppmv CO2"
"old",1876,"CO2_concentration",289.261037355711,"ppmv CO2"
"old",1877,"CO2_concentration",289.481535321935,"ppmv CO2"
"old",1878,"CO2_concentration",289.702272848146,"ppmv CO2"
"old",1879,"CO2_concentration",289.920575519327,"ppmv CO2"
"old",1880,"CO2_concentration",290.139498594003,"ppmv CO2"
"old",1881,"CO2_concentration",290.360097945785,"ppmv CO2"
"old",1882,"CO2_concentration",290.589257179269,"ppmv CO2"
"old",1883,"CO2_concentration",290.79503505787,"ppmv CO2"
"old",1884,"CO2_concentration",290.952390530955,"ppmv CO2"
"old",1885,"CO2_concentration",290.935982804602,"ppmv CO2"
"old",1886,"CO2_concentration",290.975389652238,"ppmv CO2"
"old",1887,"CO2_concentration",291.102640693716,"ppmv CO2"
"old",1888,"CO2_concentration",291.274777383097,"ppmv CO2"
"old",1889,"CO2_concentration",291.485587749205,"ppmv CO2"
"old",1890,"CO2_concentration",291.709085322318,"ppmv CO2"
"old",1891,"CO2_concentration",291.932537673301,"ppmv CO2"
"old",1892,"CO2_concentration",292.13718631958,"ppmv CO2"
"old",1893,"CO2_concentration",292.355704926086,"ppmv CO2"
"old",1894,"CO2_concentration",292.584547382502,"ppmv CO2"
"old",1895,"CO2_concentration",292.828934771177,"ppmv CO2"
"old",1896,"CO2_concentration",293.082632475872,"ppmv CO2"
"old",1897,"CO2_concentration",293.338869526658,"ppmv CO2"
"old",1898,"CO2_concentration",293.599310634033,"ppmv CO2"
"old",1899,"CO2_concentration",293.865087857114,"ppmv CO2"
"old",1900,"CO2_concentration",294.141897561318,"ppmv CO2"
"old",1901,"CO2_concentration",294.423629721857,"ppmv CO2"
"old",1902,"CO2_concentration",294.73647514519,"ppmv CO2"
"old",1903,"CO2_concentration",295.039627291999,"ppmv CO2"
"old",1904,"CO2_concentration",295.287455976664,"ppmv CO2"
"old",1905,"CO2_concentration",295.552031481768,"ppmv CO2"
"old",1906,"CO2_concentration",295.886727853035,"ppmv CO2"
