; TODO add documenation
; commit 5933a4bd2787423
; date Wed Aug 20 17:58:42 2025
; UNITS:, Tg, Gg, Gg, Tg CH4, Tg CO, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg N, Tg, Tg NMVOC, Tg N, Tg, Gg, Gg S, Pg C/yr, Pg C/yr, Pg C/yr, Pg C/yr
Date,BC_emissions,C2F6_emissions,CF4_emissions,CH4_emissions,CO_emissions,HFC125_emissions,HFC134a_emissions,HFC143a_emissions,HFC227ea_emissions,HFC23_emissions,HFC245fa_emissions,HFC32_emissions,N2O_emissions,NH3_emissions,NMVOC_emissions,NOX_emissions,OC_emissions,SF6_emissions,SO2_emissions,daccs_uptake,ffi_emissions,luc_emissions,luc_uptake
1745,2.1200932073908136,0,0.010071225,26.990539261007317,348.83826471526874,0,0,0,0,0,0,0,0.6478566891557411,6.752105669282429,60.93160287091461,5.919754128157674,16.02045195409406,0,1176.7530986171007,0,0.00238454172655907,0.08290549066039385,0
1746,2.1200932073908136,0,0.010071225,26.990539261007317,348.83826471526874,0,0,0,0,0,0,0,0.6478566891557411,6.752105669282429,60.93160287091461,5.919754128157674,16.02045195409406,0,1176.7530986171007,0,0.00238454172655907,0.08464680272956468,0
1747,2.1200932073908136,0,0.010071225,26.990539261007317,348.83826471526874,0,0,0,0,0,0,0,0.6478566891557411,6.752105669282429,60.93160287091461,5.919754128157674,16.02045195409406,0,1176.7530986171007,0,0.00238454172655907,0.08642468858532175,0
1748,2.1200932073908136,0,0.010071225,26.990539261007317,348.83826471526874,0,0,0,0,0,0,0,0.6478566891557411,6.752105669282429,60.93160287091461,5.919754128157674,16.02045195409406,0,1176.7530986171007,0,0.00238454172655907,0.08823991640810147,0
1749,2.1200932073908136,0,0.010071225,26.990539261007317,348.83826471526874,0,0,0,0,0,0,0,0.6478566891557411,6.752105669282429,60.93160287091461,5.919754128157674,16.02045195409406,0,1176.7530986171007,0,0.00238454172655907,0.0900932705128792,0
1750,2.1200932073908136,0,0.010071225,26.990539261007317,348.83826471526874,0,0,0,0,0,0,0,0.6478566891557411,6.752105669282429,60.93160287091461,5.919754128157674,16.02045195409406,0,1176.7530986171007,0,0.00238454172655907,0.09198555168805225,0
1751,2.09569450784233,0,0.010071225,26.82281370397756,344.229340660338,0,0,0,0,0,0,0,0.6406163422803232,6.6836059079966015,59.99924178186863,5.8528462999353925,15.762729178198928,0,1159.6330156155514,0,0.0023845417265590707,0.0939175775414408,0
1752,2.087551402999103,0,0.010071225,26.73295490914687,342.10793466510404,0,0,0,0,0,0,0,0.637458108189667,6.642036682344549,59.54519823779335,5.853675809402123,15.609871308523523,0,1153.1267417651443,0,0.0023854761081133686,0.09589018285355586,0
1753,2.0956851883566583,0,0.010071225,26.898952399674787,343.9763520164273,0,0,0,0,0,0,0,0.6398865331639593,6.703241064050261,59.942927939637016,5.828126804712403,15.759778528607761,0,1159.2150287050767,0,0.0023854761081133773,0.09790421993828737,0
1754,2.1236100855011104,0,0.010071225,27.219634500570383,350.12517432759944,0,0,0,0,0,0,0,0.6518668739224558,6.83635229817037,61.191228801888975,5.873397599537492,16.138189072761836,0,1184.1929923183063,0,0.002386410489667676,0.09996055901116785,0
1755,2.123916270726118,0,0.010071225,27.141795497944127,348.4508568877354,0,0,0,0,0,0,0,0.6480535970482945,6.764198040737362,60.74832547672823,5.9336942503725325,15.938886966870493,0,1174.1112981225792,0,0.0023873448712219644,0.10206008856537098,0
1756,2.0940646741985245,0,0.010071225,27.036535855264823,343.6184913039075,0,0,0,0,0,0,0,0.6388735344641099,6.7420384975008725,59.871861695582375,5.7699257750189865,15.777777747183947,0,1161.0425307842288,0,0.0025517960247777595,0.10420371575560756,0
1757,2.1736759997189736,0,0.010071225,27.525866482806315,356.2557362384776,0,0,0,0,0,0,0,0.6606153671078719,6.866347904725992,62.195059213315105,6.1050640404535805,16.289179181270878,0,1204.5349660251766,0,0.0025527304063320475,0.10639236679008449,0
1758,2.146803324933056,0,0.010071225,27.361969746125276,352.1464497598028,0,0,0,0,0,0,0,0.6566117010810739,6.813209378860494,61.36748759260398,6.033061406933128,16.100249194272493,0,1192.122125030031,0,0.0025536647878863544,0.10862698733069638,0
1759,2.143935581033503,0,0.010071225,27.49381293579647,351.81314537713007,0,0,0,0,0,0,0,0.6526676034684544,6.862942646335737,61.380944092638295,5.926931439897367,16.161305265655106,0,1187.6421436850846,0,0.002554599169440637,0.11090854290162279,0
1760,2.1549694101461325,0,0.010071225,27.69187062224933,354.7273233839717,0,0,0,0,0,0,0,0.6580308808993628,6.94431591341435,61.9911210319844,5.908210129164072,16.408286687056847,0,1200.3903244606292,0,0.002554599169440636,0.11323801930650712,0
1761,2.1654840284739514,0,0.010071225,27.65585115955286,355.0127663432142,0,0,0,0,0,0,0,0.6594601623211648,6.896224273523202,61.926505420745,6.026754462807446,16.282614299772508,0,1205.2011749331489,0,0.002798472755111459,0.11561642305439811,0
1762,2.130009343029635,0,0.010071225,27.56915536729345,349.5452472153527,0,0,0,8.32e-8,0,0,1.51e-6,0.648250269452773,6.88685392467325,60.97056013885038,5.808323725701851,16.11809821240494,0,1184.3953951504764,0,0.002799407136665752,0.11804478179463726,0
1763,2.1358881737945574,0,0.010071225,27.578593506590273,350.35528419208856,0,0,0,6.68e-7,0,0,1.24e-5,0.6517648287494807,6.881348062567582,61.07335732617603,5.870499951391115,16.120638583062252,0,1190.3087819476673,0,0.002800341518220045,0.12052414476088091,0
1764,2.100941793047,0,0.010071225,27.20786123724739,342.3274252555708,0,0,0,1.27e-6,0,0,2.5e-5,0.6384033391993975,6.7109181422341955,59.38472520874386,5.844083628213518,15.55340627548264,0,1157.9670454588954,0,0.002801275899774333,0.12305558322444791,0
1765,2.1536603688686315,0,0.010071225,27.779211930747643,353.23140578609645,0,0,0,1.39e-6,0,0,3.03e-5,0.6566004527641368,6.923949694867163,61.58185506979278,5.91948070105479,16.277434005827104,0,1199.3265641903781,0,0.002802210281328629,0.12564019095718948,0
1766,2.1410294942890604,0,0.010071225,27.630850935082158,349.6678880716241,0,0,0,1.42e-6,0,0,3.44e-5,0.6507743393268947,6.84680785903862,60.81309459830591,5.929455233957462,15.957456977385288,0,1189.3837906484562,0,0.0031264406806687595,0.12827908470408092,0
1767,2.143620067732822,0,0.010071225,27.684960253750866,349.9028464658653,0,0,0,1.46e-6,0,0,3.84e-5,0.6505119544937253,6.854975930610439,60.84805205580599,5.922648771458618,16.00093236555302,0,1190.556616164943,0,0.003127375062223044,0.13097340466573956,0
1768,2.214986389876331,0,0.010071225,28.252604602022334,362.95963322283694,0,0,0,1.49e-6,0,0,4.25e-5,0.674353199778758,7.032554436027177,63.32932426988011,6.166017688129703,16.66678662908412,0,1238.0908806663335,0,0.003128309443777348,0.13372431499107706,0
1769,2.170003580611731,0,0.010071225,27.99362197232526,355.31875440115783,0,0,0,1.53e-6,0,0,4.65e-5,0.6612450603573226,6.965768022877263,61.91438594882278,5.974912502668359,16.3393060253069,0,1214.477491688322,0,0.003129243825331638,0.13653300428029932,0
1770,2.17232285250649,0,0.010071225,28.034289785827045,355.65361930484914,0,0,0,1.57e-6,0,0,5.06e-5,0.6626182020640713,6.962951025407206,61.93271508374783,5.994029833076084,16.348592370028154,0,1215.4870707695916,0,0.0031301782068859385,0.1394006860984713,0
1771,2.1344652897439227,0,0.010071225,27.79829028501193,348.13641066138604,0,0,0,1.6e-6,0,0,5.47e-5,0.6501063821705538,6.876191849689004,60.39498412235719,5.864685723566595,15.929150957192379,0,1192.1198048247172,0,0.0034712274742033575,0.14232859949986834,0
1772,2.1213294067829604,0,0.010071225,27.72421071705762,344.8813247653829,0,0,0,1.64e-6,0,0,5.87e-5,0.6444668991650059,6.850306931232758,59.70061659402744,5.81807602271319,15.723054732224455,0,1179.7633407445994,0,0.0034721618557576463,0.1453180095633408,0
1773,2.127732628845697,0,0.010071225,27.883320721953833,346.04482246525157,0,0,0,1.67e-6,0,0,6.28e-5,0.6463575539845379,6.911816143397766,59.89851191917275,5.791391400107142,15.815680618046633,0,1182.6778248326198,0,0.0034730962373119437,0.14837020793892333,0
1774,2.1906895542824176,0,0.010071225,28.50488941016007,358.38900703198595,0,0,0,1.71e-6,0,0,6.68e-5,0.6696138492432756,7.155530920049585,62.30498764194515,5.939166520208342,16.489639963694493,0,1228.6260414404328,0,0.0034740306188662433,0.1514865134059249,0
1775,2.1854917618173673,0,0.010071225,28.399976653483943,355.32635620752694,0,0,0,1.75e-6,0,0,7.09e-5,0.6637504488290243,7.077497383022471,61.53727504636227,5.97887879200171,16.204732148206546,0,1213.0258094951182,0,0.0034749650004205386,0.1546682724427406,0
1776,2.1492310096229237,0,0.010071225,28.300468806442016,349.1608093562881,0,0,0,1.78e-6,0,0,7.49e-5,0.6520360416085418,7.0694429735453985,60.382258024795995,5.76246459595652,15.987227644460178,0,1198.2843865262946,0,0.0038347018988238416,0.15791685980863154,0
1777,2.2081352380912462,0,0.010071225,28.67742235259476,357.8192714313118,0,0,0,1.82e-6,0,0,7.9e-5,0.6668022673820247,7.16423334584259,61.902912191093215,6.008729738226278,16.293041775406696,0,1226.0783849932727,0,0.003835636280378141,0.1612336791377245,0
1778,2.2366473149648782,0,0.010071225,28.91252655874304,363.03573871253616,0,0,0,1.85e-6,0,0,8.3e-5,0.6795610700322087,7.24312840005056,62.80027016754781,6.136128611883388,16.521346649924208,0,1246.013210946773,0,0.0038365706619324282,0.16462016354548714,0
1779,2.198914884677227,0,0.010071225,28.82204829747874,356.1944354653174,0,0,0,1.89e-6,0,0,8.71e-5,0.6644664061137067,7.2274136254433285,61.5216254093212,5.897219789956853,16.2508808585528,0,1218.231834553183,0,0.0038375050434867226,0.16807777624794204,0
1780,2.2266102174753946,0,0.010071225,29.19111070840886,361.8817728140498,0,0,0,1.92e-6,0,0,9.1e-5,0.67437598282242,7.378442471883618,62.64714063751645,5.905489496968406,16.63982278093571,0,1239.823031320026,0,0.003858720509200988,0.1716080111938858,0
1781,2.2276962997318677,0,0.010071225,29.10290279666077,360.34713534398173,0,0,0,1.96e-6,0,0,9.52e-5,0.6724396727306643,7.313849460725734,62.226071125498,5.981161864847313,16.430477180205976,0,1242.1746714267872,0,0.0043139901882986624,0.1752123937103875,0
1782,2.1995537851329017,0,0.010071225,29.09111338322383,356.29608013440026,0,0,0,2e-6,0,0,9.92e-5,0.6641755850263267,7.326874515476364,61.52167828913995,5.786161504601304,16.33841842087167,0,1225.8816313768348,0,0.004315446969638777,0.17889248116184456,0
1783,2.190560946549725,0,0.010071225,29.02292088184909,354.53241216025754,0,0,0,2.03e-6,0,0,1.03e-4,0.6629961785625025,7.302607238069452,61.14136493906147,5.778188083319048,16.23490330047241,0,1223.9548493154912,0,0.004317837901221553,0.18264986362288166,0
1784,2.1813282594662486,0,0.010071225,28.828046086691135,350.8083893084533,0,0,0,2.07e-6,0,0,1.07e-4,0.6573174118570787,7.186517574653757,60.254832055423854,5.849644057530015,15.857644995943524,0,1206.4108466384498,0,0.004318240065346316,0.1864861645653821,0
1785,2.207382632682568,0,0.010071225,29.22559072403381,357.0519185495573,0,0,0,2.1e-6,0,0,1.11e-4,0.6677689277388639,7.342917337853553,61.5433020532677,5.828445496034902,16.365010346516094,0,1232.0914895740048,0,0.004322412014630569,0.19040304155995022,0
1786,2.200853217071998,0,0.010071225,29.15444399857313,354.43753566836085,0,0,0,2.14e-6,0,0,1.15e-4,0.662845327916404,7.294927616487678,60.96765885492741,5.835066411855964,16.100960475006524,0,1229.5212812703116,0,0.00490558011425404,0.19440218699210635,0
1787,2.228229284097028,0,0.010071225,29.38316331644703,359.03078247999895,0,0,0,2.18e-6,0,0,1.19e-4,0.6709422874797759,7.35827771117548,61.81190442768308,5.925211768878713,16.346712725406086,0,1246.666234618896,0,0.004907794549953112,0.1984853287935248,0
1788,2.2992429770369673,0,0.010071225,29.944689136860298,371.60719747749863,0,0,0,2.21e-6,0,0,1.23e-4,0.6937355194962467,7.5334755877805435,64.19089787635147,6.160705701322454,16.982940884532823,0,1290.6324651793427,0,0.004908898963576387,0.20265423118863019,0
1789,2.2525464031544065,0,0.010071225,29.684094710880235,363.6779714121318,0,0,0,2.25e-6,0,0,1.28e-4,0.680642220371326,7.465117796946404,62.700851751014746,5.964874852852698,16.641813631922837,0,1265.5494656765688,0,0.004910411311650537,0.20691069545687535,0
1790,2.2620951519023555,0,0.010071225,29.78542330733916,365.1167697894533,0,0,0,2.28e-6,0,0,1.32e-4,0.6837960291686391,7.4810485406272065,62.919189803581624,6.004840140952429,16.700286283453103,0,1270.2260122593354,0,0.004913151868369992,0.21125656071102925,0
1791,2.219607428767269,0,0.010071225,29.48664848015776,356.87063106691045,0,0,0,2.32e-6,0,0,1.36e-4,0.6695242618696206,7.3561479049809435,61.29261307197358,5.867556227018833,16.26186662007172,0,1249.6061760929292,0,0.005486565791435885,0.21569370469181234,0
1792,2.2108611978209303,0,0.010071225,29.378753201702366,354.46156215773925,0,0,0,2.36e-6,0,0,1.4e-4,0.6659552360765625,7.29688254989833,60.78117262973041,5.873488143051138,16.095621043303414,0,1245.6154113472028,0,0.005600657363093736,0.22022404457922165,0
1793,2.2039028589703147,0,0.010071225,29.439051064123063,353.57860103304336,0,0,0,2.39e-6,0,0,1.44e-4,0.6633301528944809,7.314492615359998,60.66268149812846,5.790429706093577,16.129479664284993,0,1242.3620209365151,0,0.0056074954098964324,0.2248495378208968,0
1794,2.2664057584376334,0,0.010071225,30.020533198345788,365.9459207679801,0,0,0,2.43e-6,0,0,1.48e-4,0.6861647317643419,7.526854319096845,63.122199071772116,5.949853435727754,16.82099205279502,0,1289.035698058315,0,0.005598735645095835,0.22957218297788468,0
1795,2.256858063256866,0,0.010071225,29.868026282355547,362.40894837324583,0,0,0,2.46e-6,0,0,1.52e-4,0.6789720681152439,7.419944760363893,62.32794387187063,5.976072697284059,16.54123260668409,0,1272.5470991894822,0,0.005602373224439041,0.23439402058816808,0
1796,2.2092432403610296,0,0.010071225,29.67966732808782,354.67877740930805,0,0,0,2.5e-6,0,0,1.56e-4,0.6640404101886258,7.3741828862644,60.95008350921449,5.715483551589763,16.289517534933942,0,1251.5264234325552,0,0.005869445445649779,0.2393171340483317,0
1797,2.2711689208046724,0,0.010071225,30.012096968294912,363.7554717742235,0,0,0,2.54e-6,0,0,1.6e-4,0.6798652970953669,7.427318947651768,62.562502865061894,6.009084673196511,16.60290018736235,0,1287.298232724398,0,0.006162050089264258,0.24434365051374615,0
1798,2.2932748064803072,0,0.010070485,30.16738781024954,367.8571249539258,0,0,0,2.57e-6,0,0,1.64e-4,0.6901135683354106,7.460702958085955,63.29265283998345,6.123587336025234,16.79378965811311,0,1309.347884036838,0,0.006418281327107338,0.2494757418176591,0
1799,2.2677517505733333,0,0.010071964,30.16493175898822,363.6783666982743,0,0,0,2.61e-6,0,0,1.68e-4,0.6794610668644202,7.462768298853951,62.593042176612165,5.919331388999814,16.7065501724233,0,1296.8989609811188,0,0.006760691078591659,0.25471562540959075,0
1800,2.2779262725678993,0,0.010071225,30.349979163138343,366.0301599056837,0,0,0,2.64e-6,0,0,1.72e-4,0.6832516731988492,7.527670222154342,63.102835279743545,5.8952860367834,16.913995930371957,0,1315.205426851045,0,0.0071952969384202975,0.26006556531343844,0
1801,2.283600043287838,0,0.010071225,30.31047813713588,365.09981138188726,0,0,0,2.68e-6,0,0,1.76e-4,0.6829489850161828,7.486619119045107,62.77140928014925,5.9786033679686135,16.73999544860153,0,1310.8158014795504,0,0.007201288313071259,0.2655278731057059,0
