; TODO add documenation
; commit 5933a4bd2787423
; date Wed Aug 20 17:58:44 2025
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
1775,0.024856862,0,0,0,0,0,105.05246,0,4273.8905,218.29482643025796,0,0,0,0,9.278055914578609,-0.00573643136887319,0.184436007695887,0.007723273,0,0
1776,0.024856862,0,0,0,0,0,105.03944,0,4273.2061,218.9790633880261,0,0,0,0,9.264052868083247,-0.00596588862362812,0.185316815581564,0.007723273,0,0
1777,0.024856862,0,0,0,0,0,105.05273,0,4273.9048,218.78156235573152,0,0,0,0,9.252057247531576,-0.00619534587838305,0.185612685670437,0.007723273,0,0
1778,0.024856862,0,0,0,0,0,105.04465,0,4273.48,216.79537296684833,0,0,0,0,9.267915096367972,-0.00642480313313797,0.18571207513321,0.007723273,0,0
1779,0.024856862,0,0,0,0,0,105.03691,0,4273.0734,217.21273483685326,0,0,0,0,9.258768707397143,-0.0066542603878929,0.18574546502203,0.007723273,0,0
1780,0.024856862,0,0,0,0,0,104.98817,0,4270.511,217.05592956287776,0,0,0,0,9.261468208046582,-0.00688371764264783,0.185756681470787,0.007723273,0,0
1781,0.024856862,0,0,0,0,0,105.04236,0,4273.3596,218.03695802234,0,0,0,0,9.270495489127388,-0.00711317489740276,0.185760450572144,0.007723273,0,0
1782,0.024856862,0,0,0,0,0,105.03125,0,4272.7759,218.00121618741446,0,0,0,0,9.272438091787082,-0.00734263215215768,0.185761713038878,0.007723273,0,0
1783,0.024856862,0,0,0,0,0,105.0436,0,4273.4248,217.75651411699207,0,0,0,0,9.278880057507306,-0.00757208940691261,-1.60711130912752,0.007723273,0,0
1784,0.024856862,0,0,0,0,0,105.05531,0,4274.0405,218.29192128975112,0,0,0,0,9.269191743459327,-0.00780154666166754,-3.48754964258802,0.007723273,0,0
1785,0.024856862,0,0,0,0,0,105.02817,0,4272.6136,217.62570967586325,0,0,0,0,9.274878547933586,-0.00803100391642247,-1.32272119659233,0.007723273,0,0
1786,0.024856862,0,0,0,0,0,105.02684000000001,0,4272.5442,217.91410898346123,0,0,0,0,9.267544795840626,-0.00826046117117739,-0.487257523800518,0.007723273,0,0
1787,0.024856862,0,0,0,0,0,105.03415,0,4272.9283,217.105746686893,0,0,0,0,9.245514774112978,-0.00848991842593232,-0.096137761480135,0.007723273,0,0
1788,0.024856862,0,0,0,0,0,104.9922,0,4270.7227,217.40243907514434,0,0,0,0,9.25937128634412,-0.00871937568068725,0.0885310651741068,0.007723273,0,0
1789,0.024856862,0,0,0,0,0,105.0242,0,4272.405,217.82907465598373,0,0,0,0,9.256980693471046,-0.00894883293544218,0.15298589260177,0.007723273,0,0
1790,0.024856862,0,0,0,0,0,104.99139,0,4270.6805,217.93001786216237,0,0,0,0,9.272015679512124,-0.0091782901901971,0.174747138229616,0.007723273,0,0
1791,0.024856862,0,0,0,0,0,105.02128,0,4272.2515,218.6228593450456,0,0,0,0,9.276347926864046,-0.00940774744495203,0.182061991113412,0.007723273,0,0
1792,0.024856862,0,0,0,0,0,105.04466,0,4273.4807,219.07612154716008,0,0,0,0,9.279736234422415,-0.00963720469970696,0.184519353267332,0.007723273,0,0
1793,0.024856862,0,0,0,0,0,105.02605,0,4272.5025,218.58111458593413,0,0,0,0,9.257664882746072,-0.00986666195446188,0.185344816477048,0.007723273,0,0
1794,0.024856862,0,0,0,0,0,104.98417,0,4270.301,218.17500076691323,0,0,0,0,9.2656207764049,-0.0100961192092168,0.18562210038834,0.007723273,0,0
1795,0.024856862,0,0,0,0,0,105.01093,0,4271.7076,218.76336710390717,0,0,0,0,9.281315667158076,-0.0103255764639717,0.185715242773011,0.007723273,0,0
1796,0.024856862,0,0,0,0,0,104.99978,0,4271.1214,219.26634960030427,0,0,0,0,9.266254015894535,-0.0105550337187267,0.0561389030725385,0.007723273,0,0
1797,0.024856862,0,0,0,0,0,105.01623,0,4271.986,219.32271622017169,0,0,0,0,9.256768983113307,-0.0107844909734816,-0.0427948529802566,0.007723273,0,0
1798,0.024856862,0,0,0,0,0,105.0081,0,4271.559,219.66616426884542,0,0,0,0,9.268184725859356,-0.0110139482282365,0.057545267787991,0.007723273,0,0
1799,0.024856862,0,0,0,0,0,104.99068,0,4270.6431,219.63612674199774,0,0,0,0,9.265157363616025,-0.0112434054829915,0.140354145461673,0.007723273,0,0
1800,0.024856862,0,0,0,0,0,104.95838,0,4268.9449,219.44592238878107,0,0,0,0,9.266223298704825,-0.0114776766359763,0.170402886976369,0.007723273,0,0
1801,0.024856862,0,0,0,0,0,105.01099,0,4271.7107,219.90105754260458,0,0,0,0,9.271050905120036,-0.011716461343221,0.180598096281997,0.007723273,0,0
1802,0.024856862,0,0,0,0,0,104.99468,0,4270.8532,220.04246889776275,0,0,0,0,9.277473852620473,-0.0119552460504657,0.184027398245396,0.007723273,0,0
1803,0.024856862,0,0,0,0,0,105.0108,0,4271.7009,220.74594192638386,0,0,0,0,9.27584419699957,-0.0121940307577103,0.185179556473926,0.007723273,0,0
1804,0.024856862,0,0,0,0,0,105.0121,0,4271.7691,221.27074890318957,0,0,0,0,9.268144917172744,-0.012432815464955,0.185566583434488,0.007723273,0,0
1805,0.024856862,0,0,0,0,0,104.98963,0,4270.588,221.0837669913396,0,0,0,0,9.268815124569826,-0.0126716001721997,0.185696592716987,0.007723273,0,0
1806,0.024856862,0,0,0,0,0,104.98239,0,4270.2074,221.37502536123458,0,0,0,0,9.26405542271072,-0.0129103848794443,0.185740258720453,0.007723273,0,0
1807,0.024856862,0,0,0,0,0,104.99423,0,4270.8298,221.63104801481782,0,0,0,0,9.241186734242143,-0.013149169586689,0.185754929142678,0.007723273,0,0
1808,0.024856862,0,0,0,0,0,104.95199,0,4268.6094,221.30909760212296,0,0,0,0,9.253070634787116,-0.0133879542939337,0.185759857157093,0.007723273,0,0
1809,0.024856862,0,0,0,0,0,104.979,0,4270.0292,221.9327896937906,0,0,0,0,9.249631834975665,-0.0136267390011783,-3.36568813418635,0.007723273,0,0
1810,0.024856862,0,0,0,0,0,104.93988,0,4267.9729,222.4732838726062,0,0,0,0,9.259185778302816,-0.013865523708423,-2.3138300284354,0.007723273,0,0
1811,0.024856862,0,0,0,0,0,104.96903,0,4269.505,223.39317365058255,0,0,0,0,9.267300222378289,-0.0141043084156677,-0.712301621430286,0.007723273,0,0
1812,0.024856862,0,0,0,0,0,104.99029,0,4270.6225,223.8171397311259,0,0,0,0,9.266661403283283,-0.0143430931229124,-0.118562996879339,0.007723273,0,0
1813,0.024856862,0,0,0,0,0,104.97005,0,4269.5589,223.7986649806412,0,0,0,0,9.244405494844656,-0.014581877830157,0.0834154058417959,0.007723273,0,0
1814,0.024856862,0,0,0,0,0,104.93884,0,4267.9182,222.1537093969093,0,0,0,0,9.249847397974928,-0.0148206625374017,0.151377417832483,0.007723273,0,0
